processed_sentence,mainkeyword_list
the tsa can be a little rude maybe tooo rude at times like calm down please and thank you otherwise love me some hartsfield ,['Security']
such a busy place but works so efficiently i love the lounge experience and there are delta lounges at every gate. ,"['Crowd', 'Experience', 'Lounges']"
"if there is not parking in the first level, you have to exit and go back in. we were looking for ada parking and found a spot that was marked as ada we parked there and thought all was well we allowed 2 hours to get through security and to our flight which was within the united states when we entered the airport it was jam packed full of people we are tsa pre check and fly frequently, however they were routing all travelers together in one gigantic line. what was crazy is they routed us around the baggage claim carousels all of the security screening areas were not open and it was obvious there was not enough staff half way through the security it became obvious we stood a huge chance of missing our flight we started asking people in front of us if we could go in front of them many let us do so and we hoped we would make our flight, but at this point it was not looking promising. ",['Crowd']
"keep in mind we arrived 2 hours early for a domestic flight we finally made it through security and ran to our gate the doors were closed and although the plane was still there, they could not reopen the doors. we were told by the attendant at the gate this airport is like this thursday-monday. we were booked on a later flight and arrived in time to miss the wedding but enjoy the reception we were very disappointed my advice to you? ",['Maintenance']
"if there is not parking in the first level, you have to exit and go back in. we were looking for ada parking and found a spot that was marked as ada we parked there and thought all was well we allowed 2 hours to get through security and to our flight which was within the united states when we entered the airport it was jam packed full of people we are tsa pre check and fly frequently, however they were routing all travelers together in one gigantic line. what was crazy is they routed us around the baggage claim carousels all of the security screening areas were not open and it was obvious there was not enough staff half way through the security it became obvious we stood a huge chance of missing our flight we started asking people in front of us if we could go in front of them many let us do so and we hoped we would make our flight, but at this point it was not looking promising. keep in mind we arrived 2 hours early for a domestic flight we finally made it through security and ran to our gate the doors were closed and although the plane was still there, they could not reopen the doors. we were told by the attendant at the gate this airport is like this thursday-monday. we were booked on a later flight and arrived in time to miss the wedding but enjoy the reception we were very disappointed my advice to you? ",['Security']
the best part besides missing the wedding? we got back home and our car was towed. apparently it was ada parking for employees but it was not labeled as such our learning besides avoid atlanta is do not fly the same way for any event ,['Staff']
"such a huge variety of fish, reptiles insects plants birds otters penguins and other wildlife. it was nice to see the dolphin show as well my favorite aquarium i have visited ","['Abbott Oceanarium', 'Abbott Oceanarium', 'Entertainment', 'Environmental', 'Penguin']"
"definitely worth the price of admission, even for being out of state. you can tell they really care about the exhibits and keeping things clean and healthy i was debating going to the zoo, but there is enough diversity and wildlife at this aquarium that it was just as good as any zoo. ","['Cleanliness', 'Exhibits', 'Price', 'Price']"
we buzzed right through immigration and customs. the only thing that is aggravating is you have to walk like 2 miles from the gate to customs but atlanta airport is huge and it s a long walk wherever you go we are doing okay when we fly through atlanta ,['Customs']
always busy but we love how many destinations are serviced. ,['Crowd']
only suffers from food and shopping options there s enough but for an airport this size there should be more variety ,"['Restaurants', 'Shopping']"
"buluga whales, sea otters and a whale shark were just a few of the exhibits available at the aquarium. we loved it fun and educational ","['aquarium', 'Exhibits', 'ocean voyager', 'river scout']"
"on our senior trip to chicago, our class visited shedd aquarium and it was an amazing experience. we had a large amount of people around 100 but shedd was very accommodating and made it easy for us to purchase tickets in bulk the aquarium itself was amazing, and everyone on the trip had a great time. we specifically enjoyed the animal spotlights and the underwater viewing shedd is a great choice for everyone, from families to very large parties. ","['Animals', 'Experience', 'Polar Play Zone']"
"omg, be prepared to walk and sweat you will have plenty to eat drink and of course expect overpriced items. ","['Price', 'Restaurants']"
"the skytrain to and from the car rental is damn sure needed because just getting to the skytrain from your gate is like walking a marathon leaving the skytrain getting and through tsa is an event i would not miss it looked like i were headed out of the usa again, lol. ",['Security']
"a few of the employees i encountered were nice, there is a lot of mexicans that live in atlanta which i did not expect. ",['Staff']
"the tsa check points were very long, but the crowds move swiftly through security. ","['Crowd', 'Security']"
"if parking at the airport, atl west parking with sky train service to the terminal is by far the best parking option at the airport. ","['Parking', 'Wayfinding']"
very cool and awesome set up air-conditioned all indoors. it felt like we were at like a mall but nope the georgia aquarium setting a new standard rain or shine on everything here the octopus was wild whale shark and big rays also a highlight ,"['aquarium', 'coldwater quest', 'Environmental', 'ocean voyager', 'Others']"
too bad the price remains as high with all the closed off sections for renovations. ,"['Maintenance', 'Price']"
"i ve been to a few aquariums in my day, and this was not the most spectacular but yet the most expensive by far 50 ",['Price']
"very good experience, it was my first time although i was left wanting to see the dolphin show since everything filled up very quickly. ",['Abbott Oceanarium']
"a magical experience tickets can be expensive, so i recommend trying a citypass or something like it. ","['Discount', 'Experience', 'Price', 'Ticket']"
great educational place food not great and very over-priced and seating was horrible. ,"['aquarium', 'Food', 'Groups']"
"good food options, organized process to get through customs great technology. ","['Customs', 'Restaurants']"
"however to get to marta takes 1 hour and the redline was not running to the airport, so it took another hour to get to north springs. ",['Ground Transportation']
the airport is so huge and can get crowded depending on the time of day. ,['Crowd']
54 per adult is a bit steep for only having enough things to do for 2 hours. overall it was a great experience and the sharks were mesmerizing ,['Sharks! Predators of the Deep']
only reason it did not get 5 stars was because it costs 54 per person. that is a ridiculous amount to charge for only 1-2 hours of things to do. ,['Price']
just greed simply greed do better georgia aquarium we would have loved it had it not been wall to wall filled with people ,"['aquarium', 'Experience']"
highlight of atlanta highlight of atlanta this was was a highlight of our trip. we went on a saturday morning as soon as they opened it was still pretty busy with a lot of children we really enjoyed the puffin exhibit and the sea lion exhibit lots to see and do here great for all ages ,"['Atlanta', 'crowd', 'Experience', 'Others', 'Others', 'Puffin']"
"entertaining, the best thing was being up close to the beluga whales small children have a lot of fun. ",['Abbott Oceanarium']
"busy on the weekends but still manage to get some great photos stop by the sea lions, it is an excellent show. more importantly, it is not an additional cost. ","['Crowd', 'Price']"
"most of the atlanta airport workers along the short 2 mile walk from the gates that i saw are not friendly and have poor attitudes by the time we made it to the exit, we were expecting a 5k t-shirts. ",['Staff']
"i was looking forward to visiting the georgia aquarium because it was indoors and people are shielded from the elements. now looking back i kind wish i didnt visit here because the indoor smell of fish made me nauseous and gave me a headache with all that said i did the penguin encounter and it was really nice to meet a south african penguin i learned they are an endangered species and the purpose of the aquarium is to save, rehome and grow their population. when you go in you can not take photos with the penguin for safety purposes a ga photographer takes photos and you will get a physical picture at the end also skip the food courtit was overpriced and the food was cold ",['aquarium']
"now looking back i kind wish i didnt visit here because the indoor smell of fish made me nauseous and gave me a headache with all that said i did the penguin encounter and it was really nice to meet a south african penguin i learned they are an endangered species and the purpose of the aquarium is to save, rehome and grow their population. when you go in you can not take photos with the penguin for safety purposes a ga photographer takes photos and you will get a physical picture at the end also skip the food courtit was overpriced and the food was cold ","['coldwater quest', 'Experience', 'Groups', 'Safety']"
"the place is pretty clean, and the staff that i have interacted with have been super helpful. ",['Cleanliness']
"being an airline pilot i must say this is one off the busiest airports, but it is very nice indeed. ",['Airlines']
"good food courts original well signposted, good transportation with the internal train. good food courts ",['Restaurants']
"translated by google well signposted, good transportation with the internal train. good food courts original well signposted, good transportation with the internal train. ",['Wayfinding']
"i guess my expectations were too high i don and # 39; t know who and # 39; s coming, i and # 39; m willing to revisit 0 i felt sorry for the dolphin spinning around in the narrow aquarium. original it was the weekend, so it was a complete rush to watch and the parking lot was full so it was difficult to park. ","['aquarium', 'Return']"
"translated by google it and # 39; s the weekend, so line up and watch it was difficult to park because the parking lot was full. ",['Crowd']
"translated by google it and # 39; s the weekend, so line up and watch it was difficult to park because the parking lot was full. i guess my expectations were too high i don and # 39; t know who and # 39; s coming, i and # 39; m willing to revisit 0 i felt sorry for the dolphin spinning around in the narrow aquarium. original it was the weekend, so it was a complete rush to watch and the parking lot was full so it was difficult to park. ","['crowd', 'Parking']"
do not get me wrong the place is huge with alot of stuff in it but my flight had got cancelled twice and it made me late and i lost my job the worse airport i have been to this year ,['Flight Experience']
nothing really opened in terminal d lack of food choices on an early flight is disappointing ,['Restaurants']
"welcome to atlanta, where the planes touch down hartsfield-jackson airport, the georgia airport 's full of sound from all over the world, people come to this town and the airport 's the gateway, where their journey is bound with sixty five runways and forty five terminals you can easily get lost and feel humbled in the jungle the staff makes your experience gold from baggage claim to security they have got it all under control and with so many amenities you will not even mind the layover toll so if you are flying to atlanta know you are in good hands at hartsfield-jackson airport, your journey expands and as soon as you step off the plane you will understand why this airport 's the best, in this great southern land. ","['Amenities', 'Baggage Claim', 'Experience', 'Flight Experience', 'Lost and Found', 'Security', 'Staff']"
"great day at the aquarium great day at the aquarium celebrating one s 16 th birthday sounded like a great time to surprise one with a day in atlanta at six flags park however it was to our surprises closed however, a day at the aquarium turned out to be pretty awesome after all cafe food was not that great but the dolphin and the sea lion show was really cool definitely would recommend to anyone with or without kids ","['aquarium', 'Atlanta', 'dolphin show', 'Events', 'Food', 'Others']"
"during the tour she was distracted, and accused me of taking a video not allowed on the tour when i wasn t. i just had my camera app open to take photos, which is allowed. we got to see the staff feed the whale sharks, which was a really cool experience and the beluga whales were super cute popping up to get a look at us on the tour. ","['Application', 'coldwater quest', 'Experience', 'Experience', 'ocean voyager', 'Staff']"
"i did the behind the seas tour and had a couple of hiccups that took away from the experience i purchased a ticket and had it delivered digitally, but i was at first turned away by the tour guide drew because she didn t understand how to read the timing on the digital ticket. during the tour she was distracted, and accused me of taking a video not allowed on the tour when i wasn t. i just had my camera app open to take photos, which is allowed. we got to see the staff feed the whale sharks, which was a really cool experience and the beluga whales were super cute popping up to get a look at us on the tour. ","['Experience', 'Tours']"
"i did the behind the seas tour and had a couple of hiccups that took away from the experience i purchased a ticket and had it delivered digitally, but i was at first turned away by the tour guide drew because she didn t understand how to read the timing on the digital ticket. after i pushed back, she had a colleague look up my ticket in the system and they confirmed that i was there at the right time. ",['Ticket']
i got to experience quite a bit at the aquarium i got in the pool with sharks and rays i got to meet some cool penguins i give this place 2 thumbs up 20 out of 10 i do recommend ,"['aquarium', 'coldwater quest', 'Experience', 'Sharks! Predators of the Deep']"
"this place is so organized, clean and they literally have every sea animal that you could ever imagine i went to all the exhibits and had a great time. employees are super friendly and helpful i was told about the dolphin show, which was free of charge when i went. you can tell they put a lot of time and energy into making sure the animals are well taken care of i would go back to this aquarium again because it is just that good so worth the money i went early on a sunday morning in november for reference i did not experience lines or huge crowds ",['Animals']
"hands down the best aquarium that i have been to in the us and i have been to many. employees are super friendly and helpful i was told about the dolphin show, which was free of charge when i went. you can tell they put a lot of time and energy into making sure the animals are well taken care of i would go back to this aquarium again because it is just that good so worth the money i went early on a sunday morning in november for reference i did not experience lines or huge crowds ",['aquarium']
"this place is so organized, clean and they literally have every sea animal that you could ever imagine i went to all the exhibits and had a great time. ","['Cleanliness', 'Exhibits']"
"employees are super friendly and helpful i was told about the dolphin show, which was free of charge when i went. you can tell they put a lot of time and energy into making sure the animals are well taken care of i would go back to this aquarium again because it is just that good so worth the money i went early on a sunday morning in november for reference i did not experience lines or huge crowds ","['crowd', 'dolphin show', 'Experience', 'Price', 'Staff', 'Staff']"
nevertheless moving around and getting from terminal to terminal or to nearby hotels or car rental center is easy and timewise very reasonable they have had a few renovation these past few years and the airport feels much newer and looks nicer my only gripe was the tsa pre check lines were long i have never had to stand in line for 30 minutes kind of defeats the purpose of having a tsa pre check clearance ,"['Rental Car', 'Security']"
field trip to the shedd shedd_aquarium humanrace pharrell adidasoriginals adidas out adidasoriginals# orginalschicago hypebeast views adidas chicagomade hypebae fashion culture streetwear modernnotoriety hype chicago rap music fashion style sneaker sneakerhead hypebeast kicks instagood instakicks sneakerheads sneakeraddict ootd grwm fyp confirmyourcraft ,['Groups']
"this atl airport is awful the long tsa north point line made me miss my flight, i came 3. 5 hours early staff must hate the job here taa manager at north point is rude and mean i never been is such an awful experience and unorganized airport in my life i am so hurt and waisted i would recommend if possible to fly out of another airport it is worth the drive to avoid the atl airport i would give zero stars if that was an option on top of that went to tgif was seated and no one checked on me i had no water nothing till i asked for manager 30 min later the waitress was awful and food disappointing, this is the worst airport i have been out in my entire life ",['Crowd']
"5 hours early staff must hate the job here taa manager at north point is rude and mean i never been is such an awful experience and unorganized airport in my life i am so hurt and waisted i would recommend if possible to fly out of another airport it is worth the drive to avoid the atl airport i would give zero stars if that was an option on top of that went to tgif was seated and no one checked on me i had no water nothing till i asked for manager 30 min later the waitress was awful and food disappointing, this is the worst airport i have been out in my entire life ","['Experience', 'Price', 'Restaurants', 'Staff']"
"this atl airport is awful the long tsa north point line made me miss my flight, i came 3. ","['Flight Experience', 'Security']"
"it is nice, a bit smaller than i thought but worth the ticket ","['Price', 'Ticket']"
"very easy to navigate, plenty of food options. it would be nice to see chic filet train the service workers regardless of age they are often rude cell phone watchers who act like they are forced to work ","['Restaurants', 'Staff', 'Wayfinding']"
"all drinking water fountains did not function for 17 gates, mining thousands passengers only one toilet for men and one for women. ","['Bathrooms', 'Restaurants']"
30 for parking was a bit abusive along with the 45 a pop non chicago resident dynamic pricing for a 3:00 entry on thursday afternoon giving us a full 2 hours to view. ,['Parking']
"absolutely wonderful experience. my son and i purchased tickets to the otter encounter and it was all we could have asked for from the hostess who took us to meet our guide, right to our photographer. ","['Abbott Oceanarium', 'Experience', 'Experience', 'Ticket']"
"delta is based here with its biggest hub in atlanta, and the sky clubs are great in this airport. ",['Airlines']
"many people complain about it, probably because it is such a huge and busy airport. ",['Crowd']
"i fly a lot including internationally, and 95% of my flights that go in and out of this airport are on time. ",['Flight Experience']
"the international terminal is on the east side of the airport, and the domestic terminal is on the west side. if you arrive on an international flight, you will be processed in concourses e or f. concourse f is the only concourse big enough to accommodate an airbus a380 the terminals and concourses are connected by a pedestrian tunnel with moving walkways once you figure out the layout, it is pretty easy to get from one terminal to another though often you will land on one end of a concourse and need to go all the way to the center of the concourse to get to the plane train an underground automated people mover that will take you from one concourse to another. ",['Flight Experience']
"the only major downside of the transportation system is that because the train is inside the secure area of the airport, if you arrive internationally and do not have a connecting flight you have to use ground transportation to take you around the airport to get to taxis car rentals or the marta station. ","['Ground Transportation', 'Rental Car']"
"the international terminal is on the east side of the airport, and the domestic terminal is on the west side. if you arrive on an international flight, you will be processed in concourses e or f. concourse f is the only concourse big enough to accommodate an airbus a380 the terminals and concourses are connected by a pedestrian tunnel with moving walkways once you figure out the layout, it is pretty easy to get from one terminal to another though often you will land on one end of a concourse and need to go all the way to the center of the concourse to get to the plane train an underground automated people mover that will take you from one concourse to another. i have never had a problem with the train system, and i have taken it so many times. the only major downside of the transportation system is that because the train is inside the secure area of the airport, if you arrive internationally and do not have a connecting flight you have to use ground transportation to take you around the airport to get to taxis car rentals or the marta station. ",['Wayfinding']
the show is conducted in a large auditorium make sure to make your reservations for the two shows as soon as you enter the museum there are animal experiences available at a cost and seem very nice we plan to try those when we visit again ,"['Animals', 'Others', 'Animals', 'Others']"
"the museum is as amazing the museum is as amazing the museum is as amazing as others have described it. we spent about 3 hours exploring the museum as well as watching the shows the sea lion show was so cute we actually enjoyed it a bit more than the dolphin show while we were there, many different school groups were visiting and the dolphin show was loud due to children screaming. ","['dolphin show', 'Others']"
"the aquarium also has a 4d theater that shows short films with sensory effects like wind, mist and bubbles. if you are looking for a unique experience, you can book a ` beluga encounter ' where you can get up close and personal with the beluga whales and even touch them ","['4D Experience', '4D Experience', 'Accessibility', 'Extraordinary experiences']"
"shedd aquarium is a popular aquarium located in chicago, illinois usa. it has a large collection of aquatic animals on display, including dolphins beluga whales and sea otters. the aquarium also has a 4d theater that shows short films with sensory effects like wind, mist and bubbles. if you are looking for a unique experience, you can book a ` beluga encounter ' where you can get up close and personal with the beluga whales and even touch them ",['Abbott Oceanarium']
"shedd aquarium is a popular aquarium located in chicago, illinois usa. it has a large collection of aquatic animals on display, including dolphins beluga whales and sea otters. ","['Abbott Oceanarium', 'Abbott Oceanarium']"
"one of the most popular exhibits is the ` wild reef ' exhibit, which features a coral reef ecosystem with over 25 sharks swimming around you another must-see exhibit is the ` amazon rising ' exhibit, which has a replica of the amazon river and rainforest complete with piranhas and other exotic fish. i went on my birthday and was such a great experience shedd aquarium is a great place to learn about marine life and conservation in addition to the exhibits, there are several educational programs and events that take place throughout the year including animal encounters and behind-thescenes tours. ","['Amazon Rising', 'Amazon Rising', 'Caribbean Reef', 'Conservation', 'Events', 'Events', 'Exhibits', 'Groups', 'Others', 'Tours', 'Wild Reef', 'Wild Reef']"
"shedd aquarium is a popular aquarium located in chicago, illinois usa. it has a large collection of aquatic animals on display, including dolphins beluga whales and sea otters. one of the most popular exhibits is the ` wild reef ' exhibit, which features a coral reef ecosystem with over 25 sharks swimming around you another must-see exhibit is the ` amazon rising ' exhibit, which has a replica of the amazon river and rainforest complete with piranhas and other exotic fish. i went on my birthday and was such a great experience shedd aquarium is a great place to learn about marine life and conservation in addition to the exhibits, there are several educational programs and events that take place throughout the year including animal encounters and behind-thescenes tours. ",['Animals']
"one of the most popular exhibits is the ` wild reef ' exhibit, which features a coral reef ecosystem with over 25 sharks swimming around you another must-see exhibit is the ` amazon rising ' exhibit, which has a replica of the amazon river and rainforest complete with piranhas and other exotic fish. i went on my birthday and was such a great experience shedd aquarium is a great place to learn about marine life and conservation in addition to the exhibits, there are several educational programs and events that take place throughout the year including animal encounters and behind-thescenes tours. the aquarium also has a 4d theater that shows short films with sensory effects like wind, mist and bubbles. if you are looking for a unique experience, you can book a ` beluga encounter ' where you can get up close and personal with the beluga whales and even touch them ",['Experience']
"everything is very careful and thought according to the visitor it is a beautiful experience for children and also for adults although the entrance costs a lot of money, it is not expensive for what it offers highly recommended translated by google simply impressive there is a lot to see and everything is very beautiful. everything is very careful and thought according to the visitor it is a beautiful experience for children and also for adults although the entrance costs a lot of money, it is not expensive for what it offers highly recommended ","['discount', 'Experience', 'Price']"
# lobster shedaquarium shedaquariumchicago aquarium water fish instagood instadaily instaphoto photooftheday unitedstates usa trending ,['Experience']
"the museum is as amazing as others have described it. we spent about 3 hours exploring the museum as well as watching the shows the sea lion show was so cute we actually enjoyed it a bit more than the dolphin show while we were there, many different school groups were visiting and the dolphin show was loud due to children screaming. ","['dolphin show', 'Groups', 'Others']"
"the museum is as amazing as others have described it. we spent about 3 hours exploring the museum as well as watching the shows the sea lion show was so cute we actually enjoyed it a bit more than the dolphin show while we were there, many different school groups were visiting and the dolphin show was loud due to children screaming. the show is conducted in a large auditorium make sure to make your reservations for the two shows as soon as you enter the museum there are animal experiences available at a cost and seem very nice we plan to try those when we visit again ",['Entertainment']
"such great exhibits and what a wonderful display of biodiversity really enjoyed the behind the seas tour tyler was an incredible guide for that tour, incredibly knowledgable not only of the animals that reside there but also the core mission of the aquarium and the positive changes it strives for. ","['Animals', 'Exhibits', 'Tours']"
"this is hands down the best aquarium we have ever been to. such great exhibits and what a wonderful display of biodiversity really enjoyed the behind the seas tour tyler was an incredible guide for that tour, incredibly knowledgable not only of the animals that reside there but also the core mission of the aquarium and the positive changes it strives for. ",['aquarium']
this is my second time to the aquarium. absolutely beautiful surroundings it would be really nice if they had posted what area are under maintenance it is still a very nice aquarium better food selection would be nice ,['aquarium']
absolutely beautiful surroundings it would be really nice if they had posted what area are under maintenance it is still a very nice aquarium better food selection would be nice ,"['Food', 'Maintenance']"
this airport really needs more parking. we waited in line for 40 minutes to access the only parking deck for the international terminal ,"['Crowd', 'Parking']"
"when i visited with my kids last thursday everyone i spoke to did not have any knowledge on the animals they keep, and my kids love talking about them. the current staff here is disrespectful and they all seem miserable the collection of animals over the years has seemed to diminish as well i might as well just take my children to my local pet store as they have most of the same animals and it is free to see them your prices have increased, your collection of animals has decreased and the quality of customer service is horrible now. this was my last trip to the aquarium ",['Animals']
"my family and i used to look forward to our bi-weekly visits to the aquarium, but things have changed so much as of lately. we have been supporters of the aquarium through an advocate membership for over 10 years now, however we will not be renewing in june when our current membership expires. ",['Membership']
"the current staff here is disrespectful and they all seem miserable the collection of animals over the years has seemed to diminish as well i might as well just take my children to my local pet store as they have most of the same animals and it is free to see them your prices have increased, your collection of animals has decreased and the quality of customer service is horrible now. this was my last trip to the aquarium ","['Price', 'Staff']"
"when i visited with my kids last thursday everyone i spoke to did not have any knowledge on the animals they keep, and my kids love talking about them. ",['Staff']
tsa staff at the international to domestic connections were entirely unprofessional and barking at passengers. ,"['Staff', 'Wayfinding']"
it was alright except i could not find any place that sells pepsi ,['Restaurants']
"translated by google one of the largest airports i and # 39; ve been to, it and # 39; s always time to arrive well in advance for a flight, whether it and # 39; s origin or a connection, the boarding gates may be far from the one you and # 39; re arriving at original one of the largest airports i and # 39; ve been to, it and # 39; s always time to arrive well in advance for a flight, whether it and # 39; s origin or a connection, the boarding gates may be far from the one you and # 39; re arriving at ",['Wayfinding']
"great aquarium to visit. my only negative remark is that every time we go, there is always something under construction or an attraction that is closed. we have been at least 4-5 times in the last 10 years and always at least 1 part closed. ","['aquarium', 'Maintenance', 'Maintenance']"
crowded and not the cleanest but has everything you need and moves quickly. ,['Crowd']
i m a blind woman and called to get assistance in information on accessibility and other various details ashely was helpful and insightful ashely thank you for your patience and kindness and willingness to answer all my questions it makes me feel safe and supported planning my visit to shedd aquarium ,"['Accessibility', 'Safety', 'Staff']"
i just spent about 20 minutes on the phone with a representative named ashley. ,['Staff']
a definite must when visiting and exploring the loop especially if there is kids involved shedd aquarium has been an iconic and longstanding amusement symbol in the city for decades i myself grew up a navy brat living overseas as well and having a fascination for aquatic life and the ocean living not far from the water on various bases excellent entertainment for the family if not a bit pricy but then again what has not gone up in price these days? ,"['Entertainment', 'Experience', 'Price', 'Tours']"
"lots of activities for kids and adults, ocean voyage sharks and amazon river were my favor 3 very educational material enjoy jellyfish electric eel and sea dragon swimming definitely will go back again and support local community. ","['Activities', 'Groups', 'Programs', 'Sharks! Predators of the Deep', 'tropical diver']"
"the restrooms were obviously tough for the team to keep up on last time but today they were tidy and clean this was the experience throughout the facility overall, the size of the crowd today made for a manageable and enjoyable experience. ","['Bathrooms', 'Cleanliness', 'Others']"
"the parking lot was about 50% full and we were able to find a space near the elevator. once we got to the entrance, it took about 30 seconds to walk through the security screener up to the entrance and scan my bar codes. my previous entrance process lasted about 20 minutes, meandering through the crowd to get to the security screener. from there, it took about 10 more minutes to finally reach the scanner for my 1pm reservation. there were parts of each area that i simply could not access before due to the sheer volume of people we also were able to reserve tickets for the dolphin show today that was not available at my last visit the staff was very pleasant today i am sure the crowd was keeping them on their toes last time no one was rude, but they we are not as proactive or helpful either. the restrooms were obviously tough for the team to keep up on last time but today they were tidy and clean this was the experience throughout the facility overall, the size of the crowd today made for a manageable and enjoyable experience. when the size of the crowd is smaller, you can see how great this place really is ",['Crowd']
"this experiences were drastically different while today was a solid 4 5, my previous experience was a 2. 5 we arrived at 10:30am for our 11am reservation. ",['discount']
"there were parts of each area that i simply could not access before due to the sheer volume of people we also were able to reserve tickets for the dolphin show today that was not available at my last visit the staff was very pleasant today i am sure the crowd was keeping them on their toes last time no one was rude, but they we are not as proactive or helpful either. ","['dolphin show', 'Staff']"
"today, i actually was able to see so many more exhibits. ",['Exhibits']
"this experiences were drastically different while today was a solid 4 5, my previous experience was a 2. 5 we arrived at 10:30am for our 11am reservation. the restrooms were obviously tough for the team to keep up on last time but today they were tidy and clean this was the experience throughout the facility overall, the size of the crowd today made for a manageable and enjoyable experience. since the aquarium still has timed entry, it is odd that so many people were able to enter and reserve tickets on my previous visit. it was an overwhelming number of people there and it negatively impacted the experience in every way if they are going to continue using the timed entry, they should truly monitor the number of reservations to ensure people get to experience what they paid for. ",['Experience']
"the parking lot was about 50% full and we were able to find a space near the elevator. once we got to the entrance, it took about 30 seconds to walk through the security screener up to the entrance and scan my bar codes. my previous entrance process lasted about 20 minutes, meandering through the crowd to get to the security screener. from there, it took about 10 more minutes to finally reach the scanner for my 1pm reservation. ","['Parking', 'Staff']"
"since the aquarium still has timed entry, it is odd that so many people were able to enter and reserve tickets on my previous visit. it was an overwhelming number of people there and it negatively impacted the experience in every way if they are going to continue using the timed entry, they should truly monitor the number of reservations to ensure people get to experience what they paid for. ",['Price']
"there were parts of each area that i simply could not access before due to the sheer volume of people we also were able to reserve tickets for the dolphin show today that was not available at my last visit the staff was very pleasant today i am sure the crowd was keeping them on their toes last time no one was rude, but they we are not as proactive or helpful either. since the aquarium still has timed entry, it is odd that so many people were able to enter and reserve tickets on my previous visit. it was an overwhelming number of people there and it negatively impacted the experience in every way if they are going to continue using the timed entry, they should truly monitor the number of reservations to ensure people get to experience what they paid for. ",['Ticket']
"had a lovely time at this aquarium, though busy and packed they had great displays of various species. ",['Crowd']
"if you re ever going thru hja you must stop at chicken and beer for a bite and a cold one. located in terminal d it was worth every moment i spent there on wed 4/2623 at around 4 pm the staff was wonderful, food blackened catfish with red beans and rice and candied yams was excellent and the beer and spirits selections exceeded my expectations. most of the tables had charging stations so i was able to charge my devices and get some work done hja is so large i only wish chicken and beer had a second location in another terminal i was enjoying my time talking sports and politics with the other guest i almost missed my flight lol ",['Restaurants']
"located in terminal d it was worth every moment i spent there on wed 4/2623 at around 4 pm the staff was wonderful, food blackened catfish with red beans and rice and candied yams was excellent and the beer and spirits selections exceeded my expectations. ",['Staff']
this definitely has to be the best place to be at in atlanta. loved it throughout its well built and well maintained got to see varied varieties of fishes about which i had no clue loved the dolphin show at ` dolphin coast '. ,['Atlanta']
"admission was decent at 43 prepurchase food items were decently priced place was overly crowded cool animals, but exhibits were all very small. felt bad for the animals ",['Animals']
"admission was decent at 43 prepurchase food items were decently priced place was overly crowded cool animals, but exhibits were all very small. ","['Crowd', 'Exhibits', 'Food']"
"airport employees were great, on the contrary concession employees were horribly rude and acted like it was a total inconvenience for them to take my order. ",['Staff']
translated by google it and # 39; s worth it the only fun attraction in atlanta cool original it and # 39; s worth it the only fun attraction in atlanta cool ,['Atlanta']
suggest to set up more vegetarian/vegan friendly restaurants within the airport. ,"['Restaurants', 'Restaurants', 'Suggestions']"
all signs inside airport are gone some airport employee at the bottom of the escalator screaming out that the shuttle bus location has been relocated here is an idea install new signs pointing toward the new location rather than making travelers wander around trying to find the new location most unfriendly airport employees of any airport in the u s who cares if you are the biggest airport if the service stinks ,"['Amenities', 'Rideshare']"
moved the shuttle location. all signs inside airport are gone some airport employee at the bottom of the escalator screaming out that the shuttle bus location has been relocated here is an idea install new signs pointing toward the new location rather than making travelers wander around trying to find the new location most unfriendly airport employees of any airport in the u s who cares if you are the biggest airport if the service stinks ,['Rideshare']
"hour long tsa, about 40 booths with no one working lol ",['Security']
there is always less traffic when moving through going through tsa the delta sky club is always amazing i just love the ambiance in there it is always a nice resting spot while my wife and i wait on our flight can not wait for my next trip and to visit again ,"['Flight Experience', 'Lounges', 'Security']"
informative and friendly staff easy to navigate and sharks ,"['Sharks! Predators of the Deep', 'Staff']"
"great airport 5 stars on everything but the tsa security process. very slow, give yourself a minimum of 2 hours to get through security or you will miss your flight. ","['Security', 'Security']"
"would have been slightly better if everything was not closed when my plane arrived, after a long flight i was rather hungry and could have used a drink ",['Restaurants']
the belugas were so cool i felt bad for the sea otter though. ,['Abbott Oceanarium']
"staying 2 nights to see everything we could one stop is the shedd aquarium was extremely excited purchased out tickets knowing that they were non refundable but that did not matter because we were definitely going until all the protests with people getting shot and pulled from their cars and beat up so bad they end up in the hospital were are 2 women we are not comfortable heading down to chicago with all the civil unrest it frightens us i called the shedd and of course in true fashion they do not care that we feel this way they do not care we feel uncomfortable and unsafe too bad i asked the gentleman if they can guarantee our safety while in chicago he laughed and said yes while in the shedd but not anywhere else why would that be a laughing situation we do have to park and walk to get into the building and we sure as heck are not driving all that way to simply just go to the aquarium in a situation like this, as unfair as it is to the aquarium they should allow people to make the decision that if they feel unsafe to come to a city then refund the ticket. we are not canceling just because there is a true, honest real reason to cancel out of our control. so we can either go or get a rain check to come back another day truth be told i do not think we will be coming back another day so out the money then and they do not care one tiny little bit about us i would not support or recommend a facility in today 's day and age that behaves like this. it is either we go or we are out of the money, that is by the way not that easy to come by anymore with the cost of just trying to live. it it very sad and unfortunate shame on them ","['Conservation', 'Environmental', 'Others', 'Price', 'Safety', 'Ticket']"
have days for no small kids waited 30 years for this? ,['Crowd']
